Epoch 112 | Train Loss: 0.22992892 | Test Loss: 0.20143974 | Train Error: -1.16407466 | Test Error: -0.87281855 | Train Error_abs: 4.13980417 | Test Error_abs: 2.90075097
Epoch 113 | Train Loss: 0.22896692 | Test Loss: 0.20073360 | Train Error: -1.09623847 | Test Error: -0.86866268 | Train Error_abs: 3.96503792 | Test Error_abs: 2.88030258
Epoch 114 | Train Loss: 0.22832793 | Test Loss: 0.20013304 | Train Error: -0.34331931 | Test Error: -0.86706679 | Train Error_abs: 4.95042308 | Test Error_abs: 2.87057827
Epoch 115 | Train Loss: 0.22740489 | Test Loss: 0.19932669 | Train Error: -1.13076869 | Test Error: -0.85098616 | Train Error_abs: 4.04252250 | Test Error_abs: 2.84701136
Epoch 116 | Train Loss: 0.22705332 | Test Loss: 0.19870682 | Train Error: -1.64228645 | Test Error: -0.85450432 | Train Error_abs: 4.46668636 | Test Error_abs: 2.84220795
Epoch 117 | Train Loss: 0.22590300 | Test Loss: 0.19796064 | Train Error: -1.27373997 | Test Error: -0.84219792 | Train Error_abs: 4.36967148 | Test Error_abs: 2.81633364
Epoch 118 | Train Loss: 0.22559236 | Test Loss: 0.19733666 | Train Error: -1.81219989 | Test Error: -0.84183464 | Train Error_abs: 4.66431460 | Test Error_abs: 2.82483130
Epoch 119 | Train Loss: 0.22484207 | Test Loss: 0.19651710 | Train Error: -0.75205918 | Test Error: -0.83186380 | Train Error_abs: 4.28054676 | Test Error_abs: 2.79063725
Epoch 120 | Train Loss: 0.22380380 | Test Loss: 0.19573685 | Train Error: -0.96250081 | Test Error: -0.82386092 | Train Error_abs: 4.45302894 | Test Error_abs: 2.80499064
Epoch 121 | Train Loss: 0.22313158 | Test Loss: 0.19465704 | Train Error: -1.02235063 | Test Error: -0.81629937 | Train Error_abs: 4.32483827 | Test Error_abs: 2.81072899
Epoch 122 | Train Loss: 0.22213959 | Test Loss: 0.19415718 | Train Error: -0.45041772 | Test Error: -0.81189585 | Train Error_abs: 5.10820872 | Test Error_abs: 2.80954027
Epoch 123 | Train Loss: 0.22144179 | Test Loss: 0.19323192 | Train Error: -1.09266305 | Test Error: -0.79788838 | Train Error_abs: 4.36672252 | Test Error_abs: 2.82436888
